date,weather,temperature_high,temperature_low
2017年05月01日,多云,29℃,18℃
2017年05月02日,中雨,20℃,16℃
2017年05月03日,阴,22℃,19℃
2017年05月04日,中雨,24℃,18℃
2017年05月05日,多云,27℃,17℃
2017年05月06日,多云,24℃,16℃
2017年05月07日,多云,26℃,17℃
2017年05月08日,中雨,21℃,18℃
2017年05月09日,多云,28℃,16℃
2017年05月10日,晴,32℃,20℃
2017年05月11日,多云,33℃,21℃
2017年05月12日,中雨,26℃,19℃
2017年05月13日,多云,29℃,18℃
2017年05月14日,多云,28℃,19℃
2017年05月15日,多云,26℃,19℃
2017年05月16日,阵雨,23℃,16℃
2017年05月17日,多云,25℃,14℃
2017年05月18日,晴,29℃,17℃
2017年05月19日,晴,28℃,19℃
2017年05月20日,多云,28℃,19℃
2017年05月21日,多云,28℃,19℃
2017年05月22日,多云,28℃,21℃
2017年05月23日,中雨,29℃,21℃
2017年05月24日,小雨,23℃,16℃
2017年05月25日,多云,27℃,16℃
2017年05月26日,晴,28℃,17℃
2017年05月27日,晴,30℃,17℃
2017年05月28日,晴,30℃,19℃
2017年05月29日,晴,30℃,20℃
2017年05月30日,多云,30℃,21℃
2017年05月31日,雷阵雨,33℃,24℃
2017年06月01日,阵雨,28℃,22℃
2017年06月02日,多云,28℃,19℃
2017年06月03日,多云,30℃,18℃
2017年06月04日,多云,28℃,21℃
2017年06月05日,阵雨,24℃,22℃
2017年06月06日,阵雨,28℃,22℃
2017年06月07日,多云,30℃,21℃
2017年06月08日,晴,32℃,23℃
2017年06月09日,阵雨,32℃,24℃
2017年06月10日,阵雨,30℃,23℃
2017年06月11日,中雨,26℃,19℃
2017年06月12日,大到暴雨,22℃,20℃
2017年06月13日,暴雨,22℃,20℃
2017年06月14日,阴,26℃,18℃
2017年06月15日,多云,26℃,18℃
2017年06月16日,阴,26℃,19℃
2017年06月17日,多云,27℃,18℃
2017年06月18日,多云,29℃,19℃
2017年06月19日,阴,28℃,20℃
2017年06月20日,阵雨,27℃,20℃
2017年06月21日,阵雨,28℃,21℃
2017年06月22日,中雨,26℃,23℃
2017年06月23日,雷阵雨,30℃,25℃
2017年06月24日,大雨,26℃,23℃
2017年06月25日,暴雨,24℃,22℃
2017年06月26日,小雨,26℃,22℃
2017年06月27日,阵雨,26℃,22℃
2017年06月28日,阵雨,26℃,23℃
2017年06月29日,雷阵雨,30℃,24℃
2017年06月30日,雷阵雨,33℃,24℃
2017年07月01日,多云,34℃,25℃
2017年07月02日,多云,33℃,26℃
2017年07月03日,雷阵雨,33℃,26℃
2017年07月04日,雷阵雨,33℃,25℃
2017年07月05日,雷阵雨,34℃,26℃
2017年07月06日,雷阵雨,36℃,26℃
2017年07月07日,多云,36℃,26℃
2017年07月08日,多云,35℃,26℃
2017年07月09日,多云,36℃,26℃
2017年07月10日,多云,35℃,26℃
2017年07月11日,雷阵雨,34℃,26℃
2017年07月12日,多云,36℃,27℃
2017年07月13日,雷阵雨,36℃,27℃
2017年07月14日,多云,37℃,27℃
2017年07月15日,晴,38℃,28℃
2017年07月16日,多云,36℃,27℃
2017年07月17日,多云,35℃,27℃
2017年07月18日,多云,37℃,27℃
2017年07月19日,多云,38℃,27℃
2017年07月20日,晴,38℃,27℃
2017年07月21日,晴,39℃,27℃
2017年07月22日,晴,39℃,28℃
2017年07月23日,晴,39℃,28℃
2017年07月24日,晴,39℃,27℃
2017年07月25日,晴,39℃,28℃
2017年07月26日,晴,38℃,28℃
2017年07月27日,晴,38℃,28℃
2017年07月28日,晴,37℃,27℃
2017年07月29日,多云,34℃,28℃
2017年07月30日,中雨,32℃,27℃
2017年07月31日,阵雨,32℃,28℃
2017年08月01日,多云,33℃,28℃
2017年08月02日,多云,34℃,28℃
2017年08月03日,多云,36℃,27℃
2017年08月04日,多云,35℃,28℃
2017年08月05日,雷阵雨,36℃,27℃
2017年08月06日,雷阵雨,34℃,28℃
2017年08月07日,多云,38℃,28℃
2017年08月08日,多云,38℃,29℃
2017年08月09日,中雨,35℃,26℃
2017年08月10日,雷阵雨,32℃,25℃
2017年08月11日,多云,35℃,27℃
2017年08月12日,雷阵雨,35℃,27℃
2017年08月13日,多云,36℃,27℃
2017年08月14日,雷阵雨,37℃,27℃
2017年08月15日,雷阵雨,35℃,27℃
2017年08月16日,雷阵雨,34℃,27℃
2017年08月17日,雷阵雨,35℃,27℃
2017年08月18日,雷阵雨,34℃,24℃
2017年08月19日,雷阵雨,36℃,25℃
2017年08月20日,雷阵雨,35℃,25℃
2017年08月21日,雷阵雨,33℃,26℃
2017年08月22日,阵雨,33℃,27℃
2017年08月23日,多云,34℃,27℃
2017年08月24日,多云,36℃,27℃
2017年08月25日,雷阵雨,36℃,27℃
2017年08月26日,阵雨,33℃,26℃
2017年08月27日,多云,34℃,26℃
2017年08月28日,晴,36℃,26℃
2017年08月29日,多云,35℃,26℃
2017年08月30日,多云,33℃,25℃
2017年08月31日,多云,30℃,24℃
2017年09月01日,多云,30℃,22℃
2017年09月02日,阵雨,30℃,23℃
2017年09月03日,多云,31℃,24℃
2017年09月04日,多云,32℃,25℃
2017年09月05日,多云,35℃,26℃
2017年09月06日,雷阵雨,36℃,25℃
2017年09月07日,阵雨,28℃,24℃
2017年09月08日,阵雨,27℃,24℃
2017年09月09日,阴,29℃,24℃
2017年09月10日,多云,33℃,26℃
2017年09月11日,雷阵雨,31℃,23℃
2017年09月12日,阵雨,27℃,22℃
2017年09月13日,多云,28℃,23℃
2017年09月14日,阵雨,26℃,23℃
2017年09月15日,中雨,25℃,22℃
2017年09月16日,阴,26℃,20℃
2017年09月17日,多云,28℃,19℃
2017年09月18日,晴,30℃,20℃
2017年09月19日,多云,31℃,23℃
2017年09月20日,中雨,26℃,21℃
2017年09月21日,小雨,24℃,22℃
2017年09月22日,多云,28℃,22℃
2017年09月23日,中雨,25℃,22℃
2017年09月24日,阵雨,28℃,22℃
2017年09月25日,多云,32℃,26℃
2017年09月26日,多云,33℃,25℃
2017年09月27日,阵雨,28℃,22℃
2017年09月28日,阵雨,22℃,19℃
2017年09月29日,阴,25℃,22℃
2017年09月30日,阵雨,24℃,22℃
2017年10月01日,多云,31℃,25℃
2017年10月02日,阵雨,32℃,22℃
2017年10月03日,多云,25℃,20℃
2017年10月04日,多云,24℃,18℃
2017年10月05日,阴,25℃,19℃
2017年10月06日,阴,24℃,18℃
2017年10月07日,多云,26℃,18℃
2017年10月08日,多云,28℃,19℃
2017年10月09日,多云,29℃,22℃
2017年10月10日,多云,30℃,24℃
2017年10月11日,阵雨,24℃,20℃
2017年10月12日,小雨,22℃,18℃
2017年10月13日,小雨,21℃,18℃
2017年10月14日,阵雨,22℃,19℃
2017年10月15日,暴雨,20℃,18℃
2017年10月16日,中雨,22℃,19℃
2017年10月17日,小雨,20℃,18℃
2017年10月18日,阴,22℃,17℃
2017年10月19日,阴,22℃,17℃
2017年10月20日,阴,22℃,17℃
2017年10月21日,多云,22℃,16℃
2017年10月22日,多云,22℃,15℃
2017年10月23日,多云,21℃,13℃
2017年10月24日,晴,20℃,13℃
2017年10月25日,晴,22℃,12℃
2017年10月26日,多云,22℃,12℃
2017年10月27日,多云,22℃,15℃
2017年10月28日,多云,22℃,14℃
2017年10月29日,多云,20℃,11℃
2017年10月30日,多云,16℃,11℃
2017年10月31日,多云,19℃,10℃
2017年11月01日,多云,22℃,10℃
2017年11月02日,晴,24℃,13℃
2017年11月03日,多云,23℃,13℃
2017年11月04日,多云,17℃,12℃
2017年11月05日,多云,19℃,12℃
2017年11月06日,多云,22℃,15℃
2017年11月07日,小雨,22℃,15℃
2017年11月08日,多云,20℃,11℃
2017年11月09日,多云,22℃,13℃
2017年11月10日,小雨,20℃,12℃
2017年11月11日,多云,17℃,10℃
2017年11月12日,多云,18℃,12℃
2017年11月13日,多云,20℃,14℃
2017年11月14日,小雨,18℃,15℃
2017年11月15日,阴,17℃,14℃
2017年11月16日,阵雨,18℃,17℃
2017年11月17日,阵雨,21℃,10℃
2017年11月18日,小雨,13℃,7℃
2017年11月19日,多云,13℃,9℃
2017年11月20日,小雨,12℃,8℃
2017年11月21日,小雨,12℃,10℃
2017年11月22日,小雨,13℃,7℃
2017年11月23日,多云,12℃,3℃
2017年11月24日,晴,14℃,5℃
2017年11月25日,多云,16℃,10℃
2017年11月26日,多云,16℃,7℃
2017年11月27日,多云,16℃,9℃
2017年11月28日,多云,22℃,13℃
2017年11月29日,中雨,17℃,11℃
2017年11月30日,小雨,14℃,9℃
2017年12月01日,阴,12℃,8℃
2017年12月02日,阴,14℃,7℃
2017年12月03日,阴,16℃,9℃
2017年12月04日,多云,13℃,3℃
2017年12月05日,多云,11℃,0℃
2017年12月06日,晴,12℃,3℃
2017年12月07日,多云,14℃,3℃
2017年12月08日,晴,10℃,0℃
2017年12月09日,晴,11℃,2℃
2017年12月10日,晴,13℃,2℃
2017年12月11日,晴,12℃,3℃
2017年12月12日,多云,12℃,4℃
2017年12月13日,阴,12℃,7℃
2017年12月14日,小雨,11℃,8℃
2017年12月15日,小雨,11℃,6℃
2017年12月16日,小雨,8℃,0℃
2017年12月17日,晴,7℃,-2℃
2017年12月18日,晴,9℃,-1℃
2017年12月19日,晴,10℃,1℃
2017年12月20日,晴,11℃,0℃
2017年12月21日,晴,11℃,0℃
2017年12月22日,晴,15℃,5℃
2017年12月23日,多云,18℃,10℃
2017年12月24日,多云,13℃,2℃
2017年12月25日,晴,10℃,0℃
2017年12月26日,晴,13℃,3℃
2017年12月27日,多云,13℃,4℃
2017年12月28日,小雨,11℃,9℃
2017年12月29日,阴,12℃,9℃
2017年12月30日,小雨,14℃,5℃
2017年12月31日,晴,10℃,1℃
2018年01月01日,晴,11℃,4℃
2018年01月01日,晴,11℃,4℃
2018年01月02日,小雨,14℃,9℃
2018年01月03日,小雨,12℃,9℃
2018年01月04日,小雨,9℃,6℃
2018年01月05日,小雨,7℃,3℃
2018年01月06日,小雨,7℃,5℃
2018年01月07日,小雨,11℃,3℃
2018年01月08日,小雨,4℃,-1℃
2018年01月09日,晴,6℃,0℃
2018年01月10日,晴,7℃,-3℃
2018年01月11日,晴,7℃,-2℃
2018年01月12日,晴,4℃,-4℃
2018年01月13日,晴,8℃,0℃
2018年01月14日,多云,14℃,2℃
2018年01月15日,多云,16℃,10℃
2018年01月16日,多云,17℃,8℃
2018年01月17日,多云,15℃,4℃
2018年01月18日,多云,14℃,8℃
2018年01月19日,阴,12℃,7℃
2018年01月20日,小雨,9℃,8℃
2018年01月21日,小雨,10℃,7℃
2018年01月22日,多云,11℃,5℃
2018年01月23日,小雨,8℃,3℃
2018年01月24日,小雨,6℃,2℃
2018年01月25日,雨夹雪,3℃,1℃
2018年01月26日,小雪,4℃,2℃
2018年01月27日,雨夹雪,4℃,0℃
2018年01月28日,雨夹雪,3℃,0℃
2018年01月29日,多云,4℃,-3℃
2018年01月30日,多云,4℃,-2℃
2018年01月31日,小雪,3℃,-2℃
2018年02月01日,多云,5℃,-1℃
2018年02月02日,多云,7℃,0℃
2018年02月03日,多云,3℃,-2℃
2018年02月04日,晴,3℃,-3℃
2018年02月05日,晴,5℃,-3℃
2018年02月06日,晴,6℃,-4℃
2018年02月07日,多云,8℃,-2℃
2018年02月08日,晴,7℃,0℃
2018年02月09日,阴,12℃,4℃
2018年02月10日,小雨,8℃,0℃
2018年02月11日,晴,9℃,-1℃
2018年02月12日,晴,10℃,-2℃
2018年02月13日,晴,13℃,1℃
2018年02月14日,晴,19℃,8℃
2018年02月15日,小雨,11℃,6℃
2018年02月16日,多云,13℃,3℃
2018年02月17日,多云,13℃,7℃
2018年02月18日,小雨,14℃,9℃
2018年02月19日,小雨,12℃,8℃
2018年02月20日,小雨,10℃,6℃
2018年02月21日,小雨,8℃,5℃
2018年02月22日,多云,15℃,0℃
2018年02月23日,晴,15℃,4℃
2018年02月24日,阵雨,14℃,6℃
2018年02月25日,阴,10℃,3℃
2018年02月26日,多云,14℃,4℃
2018年02月27日,多云,17℃,12℃
2018年02月28日,小雨,17℃,6℃
2018年03月01日,多云,19℃,7℃
2018年03月02日,小雨,11℃,9℃
2018年03月03日,多云,23℃,13℃
2018年03月04日,多云,27℃,11℃
2018年03月05日,小雨,9℃,7℃
2018年03月06日,阴,12℃,9℃
2018年03月07日,小雨,12℃,8℃
2018年03月08日,阴,10℃,3℃
2018年03月09日,晴,11℃,1℃
2018年03月10日,晴,15℃,3℃
2018年03月11日,晴,19℃,8℃
2018年03月12日,多云,22℃,11℃
2018年03月13日,多云,24℃,14℃
2018年03月14日,多云,24℃,17℃
2018年03月15日,小雨,20℃,9℃
2018年03月16日,小雨,12℃,9℃
2018年03月17日,多云,15℃,9℃
2018年03月18日,阵雨,20℃,12℃
2018年03月19日,小雨,14℃,8℃
2018年03月20日,小雨,10℃,5℃
2018年03月21日,阴,8℃,3℃
2018年03月22日,晴,16℃,7℃
2018年03月23日,晴,20℃,9℃
2018年03月24日,多云,23℃,13℃
2018年03月25日,多云,21℃,13℃
2018年03月26日,小雨,17℃,11℃
2018年03月27日,多云,22℃,11℃
2018年03月28日,晴,26℃,13℃
2018年03月29日,多云,25℃,14℃
2018年03月30日,多云,23℃,14℃
2018年03月31日,多云,25℃,15℃
2018年04月01日,多云,27℃,16℃
2018年04月02日,多云,29℃,19℃
2018年04月03日,阵雨,26℃,19℃
2018年04月04日,阵雨,24℃,16℃
2018年04月05日,阵雨,21℃,10℃
2018年04月06日,多云,15℃,8℃
2018年04月07日,晴,14℃,4℃
2018年04月08日,晴,21℃,10℃
2018年04月09日,晴,26℃,16℃
2018年04月10日,晴,29℃,17℃
2018年04月11日,多云,27℃,17℃
2018年04月12日,阵雨,21℃,17℃
2018年04月13日,阵雨,22℃,16℃
2018年04月14日,小雨,20℃,11℃
2018年04月15日,晴,18℃,9℃
2018年04月16日,阴,15℃,8℃
2018年04月17日,晴,20℃,8℃
2018年04月18日,晴,25℃,12℃
2018年04月19日,晴,28℃,14℃
2018年04月20日,晴,28℃,17℃
2018年04月21日,多云,29℃,21℃
2018年04月22日,多云,30℃,19℃
2018年04月23日,中雨,28℃,15℃
2018年04月24日,阴,17℃,11℃
2018年04月25日,晴,21℃,10℃
2018年04月26日,多云,24℃,16℃
2018年04月27日,多云,27℃,15℃
2018年04月28日,多云,28℃,18℃
2018年04月29日,阵雨,28℃,20℃
2018年04月30日,阵雨,26℃,20℃
2018年05月01日,阵雨,29℃,22℃
2018年05月02日,阵雨,26℃,15℃
2018年05月03日,晴,25℃,14℃
2018年05月04日,晴,28℃,18℃
2018年05月05日,阵雨,24℃,20℃
2018年05月06日,多云,32℃,22℃
2018年05月07日,雷阵雨,25℃,17℃
2018年05月08日,多云,24℃,15℃
2018年05月09日,晴,23℃,13℃
2018年05月10日,多云,24℃,13℃
2018年05月11日,多云,28℃,19℃
2018年05月12日,多云,31℃,22℃
2018年05月13日,阵雨,28℃,22℃
2018年05月14日,多云,32℃,23℃
2018年05月15日,多云,34℃,25℃
2018年05月16日,多云,36℃,25℃
2018年05月17日,多云,37℃,26℃
2018年05月18日,阵雨,34℃,23℃
2018年05月19日,阵雨,27℃,22℃
2018年05月20日,雷阵雨,26℃,22℃
2018年05月21日,阴,27℃,21℃
2018年05月22日,多云,27℃,21℃
2018年05月23日,多云,25℃,17℃
2018年05月24日,多云,26℃,19℃
2018年05月25日,多云,34℃,24℃
2018年05月26日,阵雨,27℃,20℃
2018年05月27日,小雨,26℃,21℃
2018年05月28日,多云,29℃,22℃
2018年05月29日,阵雨,29℃,21℃
2018年05月30日,雷阵雨,25℃,19℃
2018年05月31日,中雨,19℃,16℃
2018年06月01日,多云,26℃,17℃
2018年06月02日,多云,27℃,18℃
2018年06月03日,多云,28℃,19℃
2018年06月04日,阵雨,26℃,21℃
2018年06月05日,阵雨,24℃,20℃
2018年06月06日,阵雨,25℃,20℃
2018年06月07日,多云,29℃,21℃
2018年06月08日,阴,27℃,22℃
2018年06月09日,阴,28℃,22℃
2018年06月10日,阵雨,24℃,19℃
2018年06月11日,晴,30℃,19℃
2018年06月12日,晴,33℃,21℃
2018年06月13日,多云,32℃,21℃
2018年06月14日,多云,28℃,21℃
2018年06月15日,多云,29℃,20℃
2018年06月16日,多云,29℃,21℃
2018年06月17日,多云,29℃,22℃
2018年06月18日,多云,31℃,24℃
2018年06月19日,阵雨,33℃,25℃
2018年06月20日,大雨,27℃,22℃
2018年06月21日,多云,28℃,22℃
2018年06月22日,中雨,23℃,20℃
2018年06月23日,阵雨,24℃,21℃
2018年06月24日,阵雨,29℃,23℃
2018年06月25日,多云,35℃,25℃
2018年06月26日,多云,37℃,27℃
2018年06月27日,多云,37℃,27℃
2018年06月28日,多云,37℃,27℃
